INSTITUTION	STATE	COUNTRY	FY	TOTAL_FUNDING
TULANE UNIVERSITY OF LOUISIANA	LA	UNITED STATES	2015	340785
VACCINE RESEARCH INSTITUTE OF SAN DIEGO	CA	UNITED STATES	2015	269483
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	396000
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2015	1375226
NORTHERN ARIZONA UNIVERSITY	AZ	UNITED STATES	2015	1607085
NORTHEASTERN UNIVERSITY	MA	UNITED STATES	2015	322663
ARISAPH PHARMACEUTICALS INC	MA	UNITED STATES	2015	532072
SHAL TECHNOLOGIES INC	CA	UNITED STATES	2015	740587
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2015	1129443
NEW YORK UNIVERSITY SCHOOL OF MEDICINE	NY	UNITED STATES	2015	593181
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2015	453721
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2015	2029832
VANDERBILT UNIVERSITY	TN	UNITED STATES	2015	78500
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2015	1743351
UNIVERSITY OF ROCHESTER	NY	UNITED STATES	2015	166931
H LEE MOFFITT CANCER CTR &amp; RES INST	FL	UNITED STATES	2015	183244
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2015	322413
MEDICAL COLLEGE OF WISCONSIN	WI	UNITED STATES	2015	671104
KAISER FOUNDATION RESEARCH INSTITUTE	CA	UNITED STATES	2015	217348
ALAN PENN AND ASSOCIATES INC	MD	UNITED STATES	2015	676958
BAYLOR COLLEGE OF MEDICINE	TX	UNITED STATES	2015	2184998
ALASKA NATIVE TRIBAL HEALTH CONSORTIUM	AK	UNITED STATES	2015	242589
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2015	552482
INSTITUTE FOR CANCER RESEARCH	PA	UNITED STATES	2015	370388
UNIVERSITY OF CALIFORNIA SYS OFFICE/PRES	CA	UNITED STATES	2015	216000
KESSLER FOUNDATION INC	NJ	UNITED STATES	2015	394002
CLEVELAND CLINIC LERNER COL/MED-CWRU	OH	UNITED STATES	2015	487180
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2015	495304
YALE UNIVERSITY	CT	UNITED STATES	2015	644255
H LEE MOFFITT CANCER CTR &amp; RES INST	FL	UNITED STATES	2015	692000
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	IN	UNITED STATES	2015	656959
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2015	749900
RBHS -CANCER INSTITUTE OF NEW JERSEY	NJ	UNITED STATES	2015	324363
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	80618
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE	VA	UNITED STATES	2015	336853
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2015	168571
YALE UNIVERSITY	CT	UNITED STATES	2015	87894
AMERICAN LEGACY FOUNDATION	DC	UNITED STATES	2015	436175
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2015	952389
HOWARD UNIVERSITY	DC	UNITED STATES	2015	216911
UNIVERSITY OF FLORIDA	FL	UNITED STATES	2015	167750
YALE UNIVERSITY	CT	UNITED STATES	2015	459820
MAYO CLINIC ARIZONA	AZ	UNITED STATES	2015	2185000
MAYO CLINIC ARIZONA	AZ	UNITED STATES	2015	409250
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	122611
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	2185000
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	939059
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	343125
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	555112
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	503880
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	55094
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	374300
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	382918
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	234922
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2015	520861
H LEE MOFFITT CANCER CTR &amp; RES INST	FL	UNITED STATES	2015	44998
STANFORD UNIVERSITY	CA	UNITED STATES	2015	43120
