INSTITUTION	STATE	COUNTRY	FY	TOTAL_FUNDING
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2012	334988
KAISER FOUNDATION RESEARCH INSTITUTE	CA	UNITED STATES	2012	613849
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	IN	UNITED STATES	2012	322642
MASSACHUSETTS INSTITUTE OF TECHNOLOGY	MA	UNITED STATES	2012	490411
UNIVERSITY OF SOUTHERN CALIFORNIA	CA	UNITED STATES	2012	638713
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE	VA	UNITED STATES	2012	466788
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2012	442540
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	IN	UNITED STATES	2012	337594
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN	IL	UNITED STATES	2012	309849
FOX CHASE CANCER CENTER	PA	UNITED STATES	2012	657691
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	400008
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2012	365200
WASHINGTON UNIVERSITY	MO	UNITED STATES	2012	315400
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2012	348600
AMERICAN LEGACY FOUNDATION	DC	UNITED STATES	2012	373125
BETH ISRAEL DEACONESS MEDICAL CENTER	MA	UNITED STATES	2012	361050
PURDUE UNIVERSITY WEST LAFAYETTE	IN	UNITED STATES	2012	494219
BROWN UNIVERSITY	RI	UNITED STATES	2012	396084
UNIVERSITY OF FLORIDA	FL	UNITED STATES	2012	299849
STANFORD UNIVERSITY	CA	UNITED STATES	2012	326181
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2012	431332
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2012	312946
INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS	IN	UNITED STATES	2012	323181
PRELUDE CORPORATION	CA	UNITED STATES	2012	273920
NAVIDEA BIOPHARMACEUTICALS INC	OH	UNITED STATES	2012	315217
DIAGNOSOFT INC	CA	UNITED STATES	2012	161279
PHARMASEQ INC	NJ	UNITED STATES	2012	300000
DELPHINUS MEDICAL TECHNOLOGIES INC	MI	UNITED STATES	2012	109158
DIAGNOSTIC PHOTONICS INC	IL	UNITED STATES	2012	299973
NANOCYTOMICS LLC	IL	UNITED STATES	2012	153245
CHRONO THERAPEUTICS INC	NY	UNITED STATES	2012	369666
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	247340
DREXEL UNIVERSITY	PA	UNITED STATES	2012	322051
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2012	351713
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	314182
UNIVERSITY OF COLORADO AT BOULDER	CO	UNITED STATES	2012	314363
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	225573
UNIVERSITY OF ROCHESTER	NY	UNITED STATES	2012	320588
AMERICAN LEGACY FOUNDATION	DC	UNITED STATES	2012	506969
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2012	309469
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2012	316438
GEORGETOWN UNIVERSITY	DC	UNITED STATES	2012	619221
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2012	277001
UNIVERSITY OF CALIFORNIA DAVIS	CA	UNITED STATES	2012	318513
DUKE UNIVERSITY	NC	UNITED STATES	2012	325775
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2012	325775
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2012	332000
UNIVERSITY OF UTAH	UT	UNITED STATES	2012	544870
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2012	348600
UNIV OF MASSACHUSETTS MED SCH WORCESTER	MA	UNITED STATES	2012	339527
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2012	313262
UNIVERSITY OF ILLINOIS AT CHICAGO	IL	UNITED STATES	2012	316002
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	499924
NORTHSHORE UNIVERSITY HEALTHSYSTEM	IL	UNITED STATES	2012	559582
BROWN UNIVERSITY	RI	UNITED STATES	2012	340732
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2012	331397
UNIV OF MED/DENT NJ-R W JOHNSON MED SCH	NJ	UNITED STATES	2012	344841
ST JUDE CHILDREN'S RESEARCH HOSPITAL	TN	UNITED STATES	2012	363125
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	687839
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2012	333835
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2012	319550
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT	TX	UNITED STATES	2012	307684
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS	MD	UNITED STATES	2012	330542
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2012	624087
WAKE FOREST UNIVERSITY HEALTH SCIENCES	NC	UNITED STATES	2012	321275
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2012	400797
STANFORD UNIVERSITY	CA	UNITED STATES	2012	326810
NORTH CAROLINA STATE UNIVERSITY RALEIGH	NC	UNITED STATES	2012	500082
WADSWORTH CENTER	NY	UNITED STATES	2012	292725
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	263110
UNIVERSITY OF UTAH	UT	UNITED STATES	2012	627057
ALBERT EINSTEIN COL OF MED YESHIVA UNIV	NY	UNITED STATES	2012	315319
UNIVERSITY OF HAWAII AT MANOA	HI	UNITED STATES	2012	489360
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	304643
NEW YORK UNIVERSITY SCHOOL OF MEDICINE	NY	UNITED STATES	2012	700817
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS	AZ	UNITED STATES	2012	639914
TEMPLE UNIVERSITY	PA	UNITED STATES	2012	317475
UNIVERSITY OF CHICAGO	IL	UNITED STATES	2012	323229
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	336781
PENNSYLVANIA STATE UNIVERSITY-UNIV PARK	PA	UNITED STATES	2012	303222
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2012	329493
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	414029
INSTITUTE FOR CANCER RESEARCH	PA	UNITED STATES	2012	578744
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2012	2138
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2012	314884
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	322663
YALE UNIVERSITY	CT	UNITED STATES	2012	990065
WASHINGTON UNIVERSITY	MO	UNITED STATES	2012	635460
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	597229
MIRIAM HOSPITAL	RI	UNITED STATES	2012	485667
UNIVERSITY OF ROCHESTER	NY	UNITED STATES	2012	320588
UNIV OF MED/DENT NJ-R W JOHNSON MED SCH	NJ	UNITED STATES	2012	323700
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	322663
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	626835
EMORY UNIVERSITY	GA	UNITED STATES	2012	426315
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE	FL	UNITED STATES	2012	317475
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2012	316438
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	526283
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2012	451915
DUKE UNIVERSITY	NC	UNITED STATES	2012	247850
DUKE UNIVERSITY	NC	UNITED STATES	2012	325775
WASHINGTON UNIVERSITY	MO	UNITED STATES	2012	571600
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE	CA	UNITED STATES	2012	380472
BAYLOR COLLEGE OF MEDICINE	TX	UNITED STATES	2012	595284
UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE	VT	UNITED STATES	2012	615132
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2012	325775
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	379518
WAKE FOREST UNIVERSITY HEALTH SCIENCES	NC	UNITED STATES	2012	357010
MAYO CLINIC	MN	UNITED STATES	2012	351511
UPSTATE MEDICAL UNIVERSITY	NY	UNITED STATES	2012	330963
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2012	230659
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	314731
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	313450
UNIVERSITY OF UTAH	UT	UNITED STATES	2012	612611
RHODE ISLAND HOSPITAL	RI	UNITED STATES	2012	302600
WISTAR INSTITUTE	PA	UNITED STATES	2012	316168
SEATTLE CHILDREN'S HOSPITAL	WA	UNITED STATES	2012	594723
STANFORD UNIVERSITY	CA	UNITED STATES	2012	437914
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2012	469872
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	396090
MAGEE-WOMEN'S RES INST AND FOUNDATION	PA	UNITED STATES	2012	303546
CHILDREN'S HOSPITAL BOSTON	MA	UNITED STATES	2012	361050
OREGON HEALTH AND SCIENCE UNIVERSITY	OR	UNITED STATES	2012	638710
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	295065
NEW YORK UNIVERSITY SCHOOL OF MEDICINE	NY	UNITED STATES	2012	351539
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	322663
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2012	705071
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	307542
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	588281
ROSWELL PARK CANCER INSTITUTE CORP	NY	UNITED STATES	2012	566165
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	393042
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	393652
UNIVERSITY OF ARKANSAS MED SCIS LTL ROCK	AR	UNITED STATES	2012	291849
MEDICAL COLLEGE OF WISCONSIN	WI	UNITED STATES	2012	305938
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK	NJ	UNITED STATES	2012	325335
CORNELL UNIVERSITY ITHACA	NY	UNITED STATES	2012	325385
CLEVELAND CLINIC LERNER COL/MED-CWRU	OH	UNITED STATES	2012	355503
STANFORD UNIVERSITY	CA	UNITED STATES	2012	631836
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	547633
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	314933
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2012	556653
DUKE UNIVERSITY	NC	UNITED STATES	2012	316002
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE	CA	UNITED STATES	2012	384435
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2012	233071
SCRIPPS RESEARCH INSTITUTE	CA	UNITED STATES	2012	305777
DUKE UNIVERSITY	NC	UNITED STATES	2012	246805
UNIVERSITY OF LOUISVILLE	KY	UNITED STATES	2012	309806
UNIVERSITY OF HAWAII AT MANOA	HI	UNITED STATES	2012	585325
UNIVERSITY OF KENTUCKY	KY	UNITED STATES	2012	187979
GEORGIA TECH RESEARCH CORPORATION	GA	UNITED STATES	2012	245762
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2012	259242
ST JUDE CHILDREN'S RESEARCH HOSPITAL	TN	UNITED STATES	2012	363125
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON	TX	UNITED STATES	2012	653871
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	464845
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	327850
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2012	315367
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	332000
OHIO STATE UNIVERSITY	OH	UNITED STATES	2012	316438
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2012	348600
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	627610
RUTGERS THE ST UNIV OF NJ NEW BRUNSWICK	NJ	UNITED STATES	2012	466524
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	323700
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2012	336150
CHILDREN'S HOSPITAL & RES CTR AT OAKLAND	CA	UNITED STATES	2012	336150
HARVARD UNIVERSITY	MA	UNITED STATES	2012	350675
UNIVERSITY OF NEBRASKA MEDICAL CENTER	NE	UNITED STATES	2012	428619
UNIVERSITY OF UTAH	UT	UNITED STATES	2012	1685311
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	335601
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	361223
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	225475
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE	FL	UNITED STATES	2012	255090
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE	CA	UNITED STATES	2012	404625
EMORY UNIVERSITY	GA	UNITED STATES	2012	297559
WISTAR INSTITUTE	PA	UNITED STATES	2012	351298
WASHINGTON UNIVERSITY	MO	UNITED STATES	2012	375271
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	327850
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2012	382893
STANFORD UNIVERSITY	CA	UNITED STATES	2012	259967
INSTITUTE FOR CANCER RESEARCH	PA	UNITED STATES	2012	448318
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	259515
CHILDRENS HOSPITAL OF PHILADELPHIA	PA	UNITED STATES	2012	402071
OHIO STATE UNIVERSITY	OH	UNITED STATES	2012	300969
YALE UNIVERSITY	CT	UNITED STATES	2012	314978
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2012	351112
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE	CA	UNITED STATES	2012	396325
EMORY UNIVERSITY	GA	UNITED STATES	2012	332397
CLEVELAND CLINIC LERNER COL/MED-CWRU	OH	UNITED STATES	2012	441799
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2012	316002
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY	NY	UNITED STATES	2012	350675
HACKENSACK UNIVERSITY MEDICAL CENTER	NJ	UNITED STATES	2012	388635
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	397075
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2012	394429
VIRGINIA COMMONWEALTH UNIVERSITY	VA	UNITED STATES	2012	310213
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2012	319944
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2012	315400
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2012	313325
MAYO CLINIC	MN	UNITED STATES	2012	330711
CLEVELAND CLINIC LERNER COL/MED-CWRU	OH	UNITED STATES	2012	325775
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2012	306944
VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY	VA	UNITED STATES	2012	585024
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	286245
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2012	312439
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2012	309251
BAYLOR COLLEGE OF MEDICINE	TX	UNITED STATES	2012	56448
OHIO STATE UNIVERSITY	OH	UNITED STATES	2012	316438
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	327850
MAYO CLINIC	MN	UNITED STATES	2012	582795
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2012	617848
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	452739
SAINT LOUIS UNIVERSITY	MO	UNITED STATES	2012	311250
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	344860
UNIVERSITY OF MARYLAND BALTIMORE	MD	UNITED STATES	2012	318513
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2012	325775
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2012	602190
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2012	357100
OHIO STATE UNIVERSITY	OH	UNITED STATES	2012	387463
THOMAS JEFFERSON UNIVERSITY	PA	UNITED STATES	2012	8963
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2012	306280
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	409629
UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR	NM	UNITED STATES	2012	313325
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	303194
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2012	412209
ALBERT EINSTEIN COL OF MED YESHIVA UNIV	NY	UNITED STATES	2012	364002
STANFORD UNIVERSITY	CA	UNITED STATES	2012	326459
TUFTS UNIVERSITY BOSTON	MA	UNITED STATES	2012	372632
UNIVERSITY OF UTAH	UT	UNITED STATES	2012	317705
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2012	319550
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	520680
ALBANY MEDICAL COLLEGE	NY	UNITED STATES	2012	295065
HARVARD UNIVERSITY	MA	UNITED STATES	2012	579847
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	320588
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2012	325775
UNIVERSITY OF ILLINOIS AT CHICAGO	IL	UNITED STATES	2012	605843
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS	MD	UNITED STATES	2012	460756
HARVARD UNIVERSITY SCHOOL OF PUBLIC HEALTH	MA	UNITED STATES	2012	335113
GENERAL ELECTRIC GLOBAL RESEARCH CTR	NY	UNITED STATES	2012	760923
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	601308
UNIVERSITY OF WASHINGTON	WA	UNITED STATES	2012	526861
UNIVERSITY OF MICHIGAN AT ANN ARBOR	MI	UNITED STATES	2012	313429
YALE UNIVERSITY	CT	UNITED STATES	2012	344277
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2012	307286
CHILDREN'S HOSPITAL LOS ANGELES	CA	UNITED STATES	2012	332000
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2012	297635
BROAD INSTITUTE INC	MA	UNITED STATES	2012	423750
WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY	NY	UNITED STATES	2012	350675
BAYLOR COLLEGE OF MEDICINE	TX	UNITED STATES	2012	326398
UNIVERSITY OF MINNESOTA TWIN CITIES	MN	UNITED STATES	2012	313325
DUKE UNIVERSITY	NC	UNITED STATES	2012	325775
MAYO CLINIC	MN	UNITED STATES	2012	642347
UNIVERSITY OF ARIZONA	AZ	UNITED STATES	2012	314363
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	358902
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	295065
H LEE MOFFITT CANCER CTR & RES INST	FL	UNITED STATES	2012	458168
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2012	325775
UNIVERSITY OF CALIFORNIA BERKELEY	CA	UNITED STATES	2012	200941
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	663309
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2012	470695
NORTHWESTERN UNIVERSITY AT CHICAGO	IL	UNITED STATES	2012	330975
WASHINGTON UNIVERSITY	MO	UNITED STATES	2012	383324
UNIVERSITY OF CALIFORNIA BERKELEY	CA	UNITED STATES	2012	220444
H LEE MOFFITT CANCER CTR & RES INST	FL	UNITED STATES	2012	545516
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT	TX	UNITED STATES	2012	310040
UNIVERSITY OF CHICAGO	IL	UNITED STATES	2012	327850
KAISER FOUNDATION RESEARCH INSTITUTE	CA	UNITED STATES	2012	669313
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2012	321366
MOREHOUSE SCHOOL OF MEDICINE	GA	UNITED STATES	2012	293613
RAND CORPORATION	CA	UNITED STATES	2012	612392
UNIVERSITY OF UTAH	UT	UNITED STATES	2012	598594
UNIVERSITY OF SOUTH FLORIDA	FL	UNITED STATES	2012	339386
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2012	332000
UNIVERSITY OF TEXAS AUSTIN	TX	UNITED STATES	2012	467444
UNIVERSITY OF COLORADO DENVER	CO	UNITED STATES	2012	317309
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE	CA	UNITED STATES	2012	404625
DARTMOUTH COLLEGE	NH	UNITED STATES	2012	334420
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	353463
NEW YORK UNIVERSITY SCHOOL OF MEDICINE	NY	UNITED STATES	2012	301772
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2012	392160
COLUMBIA UNIVERSITY HEALTH SCIENCES	NY	UNITED STATES	2012	332000
UNIV OF MASSACHUSETTS MED SCH WORCESTER	MA	UNITED STATES	2012	373508
WAYNE STATE UNIVERSITY	MI	UNITED STATES	2012	315400
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2012	261450
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2012	395389
DANA-FARBER CANCER INSTITUTE	MA	UNITED STATES	2012	363125
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	379518
YALE UNIVERSITY	CT	UNITED STATES	2012	344104
CASE WESTERN RESERVE UNIVERSITY	OH	UNITED STATES	2012	325775
MEDICAL UNIVERSITY OF SOUTH CAROLINA	SC	UNITED STATES	2012	306063
MOUNT SINAI SCHOOL OF MEDICINE	NY	UNITED STATES	2012	349644
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2012	301910
WASHINGTON UNIVERSITY	MO	UNITED STATES	2012	472780
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	NC	UNITED STATES	2012	302525
VIRGINIA COMMONWEALTH UNIVERSITY	VA	UNITED STATES	2012	310213
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	327850
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2012	340300
PENNSYLVANIA STATE UNIV HERSHEY MED CTR	PA	UNITED STATES	2012	308449
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	300001
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	364407
PENNSYLVANIA STATE UNIV HERSHEY MED CTR	PA	UNITED STATES	2012	527272
GEORGETOWN UNIVERSITY	DC	UNITED STATES	2012	488962
UNIVERSITY OF CALIFORNIA LOS ANGELES	CA	UNITED STATES	2012	319550
UNIVERSITY OF TEXAS SW MED CTR	TX	UNITED STATES	2012	313615
THOMAS JEFFERSON UNIVERSITY	PA	UNITED STATES	2012	321625
UNIVERSITY OF SOUTHERN CALIFORNIA	CA	UNITED STATES	2012	353872
VANDERBILT UNIVERSITY	TN	UNITED STATES	2012	404499
SANFORD-BURNHAM MEDICAL RESEARCH INSTITUTE	CA	UNITED STATES	2012	404625
UNIVERSITY OF MARYLAND BALTIMORE	MD	UNITED STATES	2012	56696
GEORGE WASHINGTON UNIVERSITY	DC	UNITED STATES	2012	394800
COLUMBIA UNIV NEW YORK MORNINGSIDE	NY	UNITED STATES	2012	399632
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	CA	UNITED STATES	2012	320588
DUKE UNIVERSITY	NC	UNITED STATES	2012	627768
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE	VA	UNITED STATES	2012	721309
DUKE UNIVERSITY	NC	UNITED STATES	2012	317398
UNIVERSITY OF SOUTH ALABAMA	AL	UNITED STATES	2012	321198
UNIVERSITY OF CALIFORNIA SAN DIEGO	CA	UNITED STATES	2012	617057
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	648176
UNIVERSITY OF SOUTHERN CALIFORNIA	CA	UNITED STATES	2012	776616
H LEE MOFFITT CANCER CTR & RES INST	FL	UNITED STATES	2012	353168
MAYO CLINIC	MN	UNITED STATES	2012	327228
UNIV OF MED/DENT OF NJ-NJ MEDICAL SCHOOL	NJ	UNITED STATES	2012	323700
UNIVERSITY OF VERMONT AND STATE AGRICULTURAL COLLEGE	VT	UNITED STATES	2012	596014
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	511366
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	531218
UNIVERSITY OF WISCONSIN MADISON	WI	UNITED STATES	2012	358716
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2012	379725
CHILDRENS HOSPITAL OF PHILADELPHIA	PA	UNITED STATES	2012	495102
EMORY UNIVERSITY	GA	UNITED STATES	2012	365440
NORTHWESTERN UNIVERSITY	IL	UNITED STATES	2012	607847
FRED HUTCHINSON CANCER RESEARCH CENTER	WA	UNITED STATES	2012	365200
UNIVERSITY OF NEBRASKA LINCOLN	NE	UNITED STATES	2012	309172
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA	SC	UNITED STATES	2012	478426
UNIVERSITY OF PENNSYLVANIA	PA	UNITED STATES	2012	332000
UNIVERSITY OF SOUTHERN CALIFORNIA	CA	UNITED STATES	2012	613803
STATE UNIVERSITY NEW YORK STONY BROOK	NY	UNITED STATES	2012	325775
KAISER FOUNDATION RESEARCH INSTITUTE	CA	UNITED STATES	2012	606318
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2012	348600
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR	TX	UNITED STATES	2012	327850
SLOAN-KETTERING INSTITUTE FOR CANCER RES	NY	UNITED STATES	2012	303614
UNIVERSITY OF WISCONSIN MADISON	WI	UNITED STATES	2012	339250
JOHNS HOPKINS UNIVERSITY	MD	UNITED STATES	2012	318139
MASSACHUSETTS GENERAL HOSPITAL	MA	UNITED STATES	2012	738480
UNIVERSITY OF PITTSBURGH AT PITTSBURGH	PA	UNITED STATES	2012	302306
UNIVERSITY OF KANSAS MEDICAL CENTER	KS	UNITED STATES	2012	339534
CITY OF HOPE/BECKMAN RESEARCH INSTITUTE	CA	UNITED STATES	2012	716410
UNIVERSITY OF ROCHESTER	NY	UNITED STATES	2012	320588
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON	TX	UNITED STATES	2012	282193
BRIGHAM AND WOMEN'S HOSPITAL	MA	UNITED STATES	2012	341657
