	YEAR	INSTITUTION	PATENTS_FILED_COUNT	PATENTS_GRANTED_COUNT	ONGOING_TRIALS_COUNT	STATE	TOTAL_FUNDING
205	2002.0	UNIVERSITY OF MASSACHUSETTS AMHERST	1.0	0.0	0.0		
206	2002.0	UNIVERSITY OF MASSACHUSETTS MEDICAL SCH	3.0	0.0	0.0		
207	2002.0	UNIVERSITY OF MICHIGAN	6.0	1.0	0.0		
208	2002.0	UNIVERSITY OF MINNESOTA	1.0	0.0	0.0		
209	2002.0	UNIVERSITY OF MISSOURI-COLUMBIA	1.0	0.0	0.0		
210	2002.0	UNIVERSITY OF NEBRASKA MEDICAL CENTER	2.0	0.0	0.0		
211	2002.0	UNIVERSITY OF NEW HAMPSHIRE	1.0	0.0	0.0		
212	2002.0	UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR	2.0	0.0	0.0		
213	2002.0	UNIVERSITY OF PENNSYLVANIA	1.0	1.0	0.0		
214	2002.0	UNIVERSITY OF PITTSBURGH	2.0	1.0	1.0		
215	2002.0	UNIVERSITY OF ROCHESTER	1.0	0.0	5.0		
216	2002.0	UNIVERSITY OF SOUTH CAROLINA	1.0	0.0	0.0		
217	2002.0	UNIVERSITY OF SOUTH FLORIDA	7.0	0.0	0.0		
218	2002.0	UNIVERSITY OF SOUTHERN CALIFORNIA	1.0	0.0	3.0		
219	2002.0	UNIVERSITY OF TEXAS HLTH SCIENCE CENTER	3.0	0.0	0.0		
220	2002.0	UNIVERSITY OF TEXAS, AUSTIN	1.0	0.0	0.0		
221	2002.0	UNIVERSITY OF TX MD ANDERSON CAN CTR	7.0	1.0	0.0		
222	2002.0	UNIVERSITY OF UTAH	2.0	0.0	0.0		
223	2002.0	UNIVERSITY OF VIRGINIA	4.0	0.0	0.0		
224	2002.0	UNIVERSITY OF WASHINGTON	3.0	0.0	4.0		
225	2002.0	UNIVERSITY OF WISCONSIN-MADISON	8.0	3.0	0.0		
226	2002.0	UT SOUTHWESTERN MEDICAL CENTER	6.0	1.0	0.0		
227	2002.0	VANDERBILT UNIVERSITY	6.0	1.0	0.0		
228	2002.0	WASHINGTON STATE UNIVERSITY	1.0	0.0	0.0		
229	2002.0	WASHINGTON UNIVERSITY	1.0	1.0	0.0		
230	2002.0	WAYNE STATE UNIVERSITY	2.0	0.0	0.0		
231	2002.0	WHITEHEAD INSTITUTE FOR BIOMEDICAL RES	2.0	0.0	0.0		
232	2002.0	WISTAR INSTITUTE	2.0	0.0	0.0		
233	2002.0	YALE UNIVERSITY	7.0	0.0	0.0		
234	2003.0		1.0	0.0	0.0		
235	2003.0	ALBERT EINSTEIN COLLEGE OF MEDICINE, INC	3.0	1.0	0.0		
236	2003.0	ANGION BIOMEDICA CORPORATION	1.0	0.0	0.0		
237	2003.0	ARIZONA STATE UNIVERSITY-TEMPE CAMPUS	3.0	0.0	0.0		
238	2003.0	BECKMAN RESEARCH INSTITUTE/CITY OF HOPE	1.0	0.0	0.0		
239	2003.0	BETH ISRAEL DEACONESS MEDICAL CENTER	5.0	1.0	1.0		
240	2003.0	BOLDER BIOTECHNOLOGY, INC.	1.0	0.0	0.0		
241	2003.0	BRIGHAM AND WOMEN'S HOSPITAL	5.0	3.0	0.0		
242	2003.0	BROWN UNIVERSITY	1.0	0.0	0.0		
243	2003.0	CALIFORNIA INSTITUTE OF TECHNOLOGY	1.0	1.0	0.0		
244	2003.0	CEDARS-SINAI MEDICAL CENTER	2.0	0.0	0.0		
245	2003.0	CHILDREN'S HOSP OF PHILADELPHIA	2.0	0.0	0.0		
246	2003.0	CHILDREN'S HOSPITAL & RES CTR AT OAKLAND	1.0	0.0	0.0		
247	2003.0	CHILDREN'S HOSPITAL CORPORATION	1.0	0.0	0.0		
248	2003.0	CLEVELAND CLINIC FOUNDATION	1.0	0.0	0.0		
249	2003.0	COLUMBIA UNIV NEW YORK MORNINGSIDE	5.0	1.0	0.0		
250	2003.0	CORNELL UNIVERSITY	2.0	2.0	0.0		
251	2003.0	DANA-FARBER CANCER INST	2.0	0.0	0.0		
252	2003.0	DARTMOUTH COLLEGE	4.0	1.0	0.0		
253	2003.0	EMORY UNIVERSITY	2.0	1.0	3.0		
254	2003.0	FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH	1.0	0.0	0.0		
255	2003.0	FRED HUTCHINSON CANCER RESEARCH CENTER	1.0	0.0	9.0		
256	2003.0	GEORGETOWN UNIVERSITY	2.0	1.0	3.0		
257	2003.0	GEORGIA REGENTS UNIVERSITY	1.0	0.0	0.0		
258	2003.0	GEORGIA TECH RESEARCH CORPORATION	1.0	0.0	0.0		
259	2003.0	HARVARD UNIVERSITY	4.0	0.0	0.0		
260	2003.0	ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	3.0	0.0	0.0		
261	2003.0	ILLUMINA, INC.	1.0	0.0	0.0		
262	2003.0	INDIANA UNIVERSITY	1.0	0.0	1.0		
263	2003.0	J. DAVID GLADSTONE INSTITUTES	1.0	0.0	0.0		
264	2003.0	LASZLO PROKAI	1.0	0.0	0.0		
265	2003.0	LSU HEALTH SCIENCES CENTER	1.0	0.0	0.0		
266	2003.0	MASSACHUSETTS GENERAL HOSPITAL	6.0	1.0	4.0		
267	2003.0	MASSACHUSETTS INSTITUTE OF TECHNOLOGY	1.0	2.0	0.0		
268	2003.0	MAYO CLINIC ROCHESTER	3.0	1.0	0.0		
269	2003.0	MEDICAL COLLEGE OF WISCONSIN	2.0	2.0	0.0		
270	2003.0	MICHIGAN STATE UNIVERSITY	1.0	0.0	0.0		
271	2003.0	NEUROCRINE BIOSCIENCES, INC.	2.0	1.0	0.0		
272	2003.0	NORTHWESTERN UNIVERSITY	3.0	1.0	9.0		
273	2003.0	OHIO STATE UNIVERSITY	4.0	0.0	0.0		
274	2003.0	OREGON HEALTH & SCIENCE UNIVERSITY	3.0	1.0	0.0		
275	2003.0	PENNSYLVANIA STATE UNIVERSITY	4.0	2.0	0.0		
276	2003.0	PROTEON THERAPEUTICS, INC.	1.0	0.0	0.0		
277	2003.0	PURDUE UNIVERSITY	3.0	2.0	0.0		
278	2003.0	ROSWELL PARK CANCER INSTITUTE	2.0	1.0	15.0		
279	2003.0	SALK INSTITUTE FOR BIOLOGICAL STUDIES	1.0	3.0	0.0		
280	2003.0	SANFORD-BURNHAM MEDICAL RESEARCH INSTIT	1.0	0.0	0.0		
281	2003.0	SCRIPPS RESEARCH INSTITUTE	8.0	0.0	0.0		
282	2003.0	SLOAN-KETTERING INST CAN RESEARCH	8.0	4.0	0.0		
283	2003.0	ST. JUDE CHILDREN'S RESEARCH HOSPITAL	1.0	0.0	8.0		
284	2003.0	STANFORD UNIVERSITY	10.0	4.0	1.0		
285	2003.0	STATE UNIVERSITY NEW YORK STONY BROOK	1.0	1.0	0.0		
286	2003.0	STATE UNIVERSITY OF NEW YORK	2.0	0.0	0.0		
287	2003.0	STRATATECH CORPORATION	1.0	0.0	0.0		
288	2003.0	TEMPLE UNIV OF THE COMMONWEALTH	1.0	0.0	0.0		
289	2003.0	UNIV OF ARKANSAS FOR MED SCIS	3.0	0.0	0.0		
290	2003.0	UNIV OF NORTH CAROLINA CHAPEL HILL	6.0	2.0	0.0		
291	2003.0	UNIVERSITY OF ARIZONA	3.0	0.0	6.0		
292	2003.0	UNIVERSITY OF CALIFORNIA BERKELEY	2.0	0.0	0.0		
293	2003.0	UNIVERSITY OF CALIFORNIA LOS ANGELES	3.0	1.0	0.0		
294	2003.0	UNIVERSITY OF CALIFORNIA SAN DIEGO	9.0	5.0	0.0		
295	2003.0	UNIVERSITY OF CALIFORNIA SYS OFFICE/PRES	5.0	1.0	0.0		
296	2003.0	UNIVERSITY OF CALIFORNIA, SAN FRANCISCO	9.0	5.0	7.0		
